Gender,Age,Tenure,MonthlyCharges,TotalCharges,PaymentMethod,ContractType,InternetService,StreamingServices,TechSupport,Churn
1,50,2,97.22,194.44,0,1,1,0,1,0
0,72,7,36.71,256.97,1,0,0,0,0,1
0,39,48,87.23,4187.04,0,0,1,1,0,0
0,67,11,49.97,549.67,2,2,1,0,0,1
1,69,16,104.04,1664.64,2,0,1,1,1,1
1,56,35,99.8,3493.0,1,2,1,1,1,1
1,42,11,20.54,225.94,0,1,0,0,0,1
0,63,44,115.81,5095.64,2,1,1,1,1,0
1,69,3,104.15,312.45,1,2,1,0,1,0
0,22,48,94.29,4525.92,0,1,1,1,1,0
1,75,45,127.7,5746.5,3,0,0,0,1,0
0,63,18,72.64,1307.52,1,0,0,1,0,1
0,27,56,121.59,6809.04,3,0,1,1,0,0
0,63,44,133.86,5889.84,3,2,0,0,0,1
1,23,17,44.46,755.82,0,0,1,0,0,0
1,77,38,109.72,4169.36,2,1,1,0,0,1
0,77,23,132.51,3047.73,1,1,1,1,1,1
0,28,59,72.55,4280.45,0,2,0,1,1,1
1,46,67,110.58,7408.86,0,1,0,1,0,1
1,37,41,133.39,5468.99,2,2,0,0,1,0
0,48,6,35.53,213.18,1,0,1,1,0,1
1,69,0,118.36,0.0,0,2,0,1,1,0
1,25,59,129.07,7615.13,2,1,1,0,0,0
1,48,5,125.77,628.85,0,1,0,1,0,0
0,18,33,134.69,4444.77,2,1,1,0,0,1
0,27,40,64.76,2590.4,0,1,1,0,0,0
1,46,59,112.3,6625.7,1,0,1,0,1,0
0,67,16,89.99,1439.84,1,1,1,1,1,0
0,59,8,142.62,1140.96,2,2,0,1,1,1
0,59,24,95.95,2302.8,1,0,1,0,1,1
0,49,22,74.64,1642.08,0,2,1,1,1,1
1,32,39,60.35,2353.65,1,2,1,0,1,1
1,72,33,133.46,4404.18,3,1,1,0,0,1
0,35,41,96.07,3938.87,1,2,0,0,1,0
1,44,17,54.11,919.87,2,2,1,1,0,1
0,54,70,31.87,2230.9,1,1,1,0,1,0
1,77,26,45.31,1178.06,3,0,1,1,1,0
0,37,37,78.37,2899.69,0,0,1,0,0,1
0,31,5,58.13,290.65,2,1,1,0,1,0
1,27,6,134.88,809.28,0,2,1,1,0,1
0,72,65,81.27,5282.55,3,0,0,0,1,1
1,77,48,45.65,2191.2,2,0,1,1,1,0
0,51,12,148.66,1783.92,2,2,1,0,1,1
0,78,17,143.47,2438.99,3,1,1,1,1,1
0,78,8,34.23,273.84,2,2,1,0,1,0
0,59,62,105.6,6547.2,1,1,1,0,1,1
1,43,55,108.77,5982.35,0,0,1,0,0,1
1,51,40,50.28,2011.2,0,2,1,1,0,0
1,67,9,118.61,1067.49,2,0,0,0,1,0
1,33,18,123.59,2224.62,0,2,0,0,1,0
1,32,41,112.98,4632.18,3,0,1,1,0,0
1,51,64,40.54,2594.56,2,2,1,1,0,0
1,72,52,85.41,4441.32,3,2,0,1,0,1
0,45,26,95.36,2479.36,0,0,0,0,0,1
0,58,24,89.36,2144.64,2,1,1,1,0,1
0,19,33,121.1,3996.3,3,1,1,0,0,0
1,29,59,134.6,7941.4,2,1,0,0,1,0
0,29,2,20.91,41.82,2,1,1,1,0,1
1,72,12,136.42,1637.04,1,2,1,0,1,1
1,72,43,104.84,4508.12,1,0,0,0,1,1
0,70,14,32.03,448.42,0,1,1,0,1,0
0,25,45,105.47,4746.15,1,0,0,0,0,0
0,66,59,84.67,4995.53,3,2,1,1,0,0
1,62,2,52.11,104.22,0,0,0,1,1,0
1,28,5,78.18,390.9,1,2,1,1,0,0
0,61,5,148.21,741.05,1,1,1,0,0,1
1,55,68,79.43,5401.24,0,1,0,1,1,0
1,34,17,77.8,1322.6,3,2,0,1,0,0
0,33,62,85.29,5287.98,0,1,1,1,1,0
1,46,46,129.27,5946.42,0,0,1,0,1,0
0,65,25,60.1,1502.5,3,1,1,0,0,1
1,38,59,111.86,6599.74,0,0,1,0,0,1
0,42,63,72.93,4594.59,0,1,1,1,0,1
1,47,26,111.35,2895.1,2,0,1,0,0,1
1,27,50,20.27,1013.5,2,0,1,0,0,0
1,57,37,118.79,4395.23,3,0,1,0,0,1
1,65,60,146.49,8789.4,3,2,1,0,1,0
0,26,7,145.47,1018.29,0,1,0,1,0,1
1,37,29,124.28,3604.12,3,0,1,0,0,0
0,64,42,39.45,1656.9,0,2,0,1,1,1
0,59,5,115.12,575.6,1,1,1,1,0,0
0,62,71,140.23,9956.33,2,2,0,0,1,0
1,68,40,129.98,5199.2,3,0,1,1,0,1
